33031 5 x1i x1i x0 x1i x0i 
33033 5 x1i x1i x0 x1i x1i 
33111 5 x1i x1i x0i x0i x0i 
33112 5 x1i x1i x0i x0i x1 
33113 5 x1i x1i x0i x0i x1i 
33120 5 x1i x1i x0i x1 x0 
33121 5 x1i x1i x0i x1 x0i 
33122 5 x1i x1i x0i x1 x1 
33130 5 x1i x1i x0i x1i x0 
33131 5 x1i x1i x0i x1i x0i 
33133 5 x1i x1i x0i x1i x1i 
33300 5 x1i x1i x1i x0 x0 
33302 5 x1i x1i x1i x0 x1 
33303 5 x1i x1i x1i x0 x1i 
33311 5 x1i x1i x1i x0i x0i 
33312 5 x1i x1i x1i x0i x1 
33313 5 x1i x1i x1i x0i x1i 
33330 5 x1i x1i x1i x1i x0 
33331 5 x1i x1i x1i x1i x0i 
33333 5 x1i x1i x1i x1i x1i 
000000 6 x0 x0 x0 x0 x0 x0 
000002 6 x0 x0 x0 x0 x0 x1 
000003 6 x0 x0 x0 x0 x0 x1i 
000020 6 x0 x0 x0 x0 x1 x0 
000021 6 x0 x0 x0 x0 x1 x0i 
000022 6 x0 x0 x0 x0 x1 x1 
000030 6 x0 x0 x0 x0 x1i x0 
000033 6 x0 x0 x0 x0 x1i x1i 
000200 6 x0 x0 x0 x1 x0 x0 
000202 6 x0 x0 x0 x1 x0 x1 
000203 6 x0 x0 x0 x1 x0 x1i 
000212 6 x0 x0 x0 x1 x0i x1 
000213 6 x0 x0 x0 x1 x0i x1i 
000220 6 x0 x0 x0 x1 x1 x0 
000221 6 x0 x0 x0 x1 x1 x0i 
000222 6 x0 x0 x0 x1 x1 x1 
000300 6 x0 x0 x0 x1i x0 x0 
000302 6 x0 x0 x0 x1i x0 x1 
000330 6 x0 x0 x0 x1i x1i x0 
000331 6 x0 x0 x0 x1i x1i x0i 
000333 6 x0 x0 x0 x1i x1i x1i 
002000 6 x0 x0 x1 x0 x0 x0 
002002 6 x0 x0 x1 x0 x0 x1 
002003 6 x0 x0 x1 x0 x0 x1i 
002020 6 x0 x0 x1 x0 x1 x0 
002021 6 x0 x0 x1 x0 x1 x0i 
002022 6 x0 x0 x1 x0 x1 x1 
002030 6 x0 x0 x1 x0 x1i x0 
002031 6 x0 x0 x1 x0 x1i x0i 
002033 6 x0 x0 x1 x0 x1i x1i 
002120 6 x0 x0 x1 x0i x1 x0 
002121 6 x0 x0 x1 x0i x1 x0i 
002122 6 x0 x0 x1 x0i x1 x1 
002130 6 x0 x0 x1 x0i x1i x0 
002131 6 x0 x0 x1 x0i x1i x0i 
002133 6 x0 x0 x1 x0i x1i x1i 
002200 6 x0 x0 x1 x1 x0 x0 
002202 6 x0 x0 x1 x1 x0 x1 
002203 6 x0 x0 x1 x1 x0 x1i 
002211 6 x0 x0 x1 x1 x0i x0i 
002212 6 x0 x0 x1 x1 x0i x1 
002213 6 x0 x0 x1 x1 x0i x1i 
002220 6 x0 x0 x1 x1 x1 x0 
002221 6 x0 x0 x1 x1 x1 x0i 
002222 6 x0 x0 x1 x1 x1 x1 
003000 6 x0 x0 x1i x0 x0 x0 
003002 6 x0 x0 x1i x0 x0 x1 
003003 6 x0 x0 x1i x0 x0 x1i 
003020 6 x0 x0 x1i x0 x1 x0 
003021 6 x0 x0 x1i x0 x1 x0i 
003022 6 x0 x0 x1i x0 x1 x1 
003300 6 x0 x0 x1i x1i x0 x0 
003302 6 x0 x0 x1i x1i x0 x1 
003303 6 x0 x0 x1i x1i x0 x1i 
003311 6 x0 x0 x1i x1i x0i x0i 
003312 6 x0 x0 x1i x1i x0i x1 
003313 6 x0 x0 x1i x1i x0i x1i 
003330 6 x0 x0 x1i x1i x1i x0 
003331 6 x0 x0 x1i x1i x1i x0i 
003333 6 x0 x0 x1i x1i x1i x1i 
020000 6 x0 x1 x0 x0 x0 x0 
020002 6 x0 x1 x0 x0 x0 x1 
020003 6 x0 x1 x0 x0 x0 x1i 
020020 6 x0 x1 x0 x0 x1 x0 
020021 6 x0 x1 x0 x0 x1 x0i 
020022 6 x0 x1 x0 x0 x1 x1 
020030 6 x0 x1 x0 x0 x1i x0 
020033 6 x0 x1 x0 x0 x1i x1i 
020200 6 x0 x1 x0 x1 x0 x0 
020202 6 x0 x1 x0 x1 x0 x1 
020203 6 x0 x1 x0 x1 x0 x1i 
020212 6 x0 x1 x0 x1 x0i x1 
020213 6 x0 x1 x0 x1 x0i x1i 
020220 6 x0 x1 x0 x1 x1 x0 
020221 6 x0 x1 x0 x1 x1 x0i 
020222 6 x0 x1 x0 x1 x1 x1 
020300 6 x0 x1 x0 x1i x0 x0 
020302 6 x0 x1 x0 x1i x0 x1 
020303 6 x0 x1 x0 x1i x0 x1i 
020311 6 x0 x1 x0 x1i x0i x0i 
020312 6 x0 x1 x0 x1i x0i x1 
020313 6 x0 x1 x0 x1i x0i x1i 
020330 6 x0 x1 x0 x1i x1i x0 
020331 6 x0 x1 x0 x1i x1i x0i 
020333 6 x0 x1 x0 x1i x1i x1i 
021200 6 x0 x1 x0i x1 x0 x0 
021202 6 x0 x1 x0i x1 x0 x1 
021203 6 x0 x1 x0i x1 x0 x1i 
021212 6 x0 x1 x0i x1 x0i x1 
021213 6 x0 x1 x0i x1 x0i x1i 
021220 6 x0 x1 x0i x1 x1 x0 
021221 6 x0 x1 x0i x1 x1 x0i 
021222 6 x0 x1 x0i x1 x1 x1 
021300 6 x0 x1 x0i x1i x0 x0 
021302 6 x0 x1 x0i x1i x0 x1 
021303 6 x0 x1 x0i x1i x0 x1i 
021311 6 x0 x1 x0i x1i x0i x0i 
021312 6 x0 x1 x0i x1i x0i x1 
021313 6 x0 x1 x0i x1i x0i x1i 
021330 6 x0 x1 x0i x1i x1i x0 
021331 6 x0 x1 x0i x1i x1i x0i 
021333 6 x0 x1 x0i x1i x1i x1i 
022000 6 x0 x1 x1 x0 x0 x0 
022002 6 x0 x1 x1 x0 x0 x1 
022003 6 x0 x1 x1 x0 x0 x1i 
022020 6 x0 x1 x1 x0 x1 x0 
